,is_related,p1,p2
0,0,/Users/harish3110/Desktop/capstone_project/train/F0101/MID4,/Users/harish3110/Desktop/capstone_project/train/F0881/MID2
1,1,/Users/harish3110/Desktop/capstone_project/train/F0552/MID1,/Users/harish3110/Desktop/capstone_project/train/F0552/MID6
2,1,/Users/harish3110/Desktop/capstone_project/train/F0704/MID3,/Users/harish3110/Desktop/capstone_project/train/F0704/MID5
3,0,/Users/harish3110/Desktop/capstone_project/train/F0901/MID3,/Users/harish3110/Desktop/capstone_project/train/F0856/MID3
4,0,/Users/harish3110/Desktop/capstone_project/train/F0737/MID2,/Users/harish3110/Desktop/capstone_project/train/F0264/MID8
5,0,/Users/harish3110/Desktop/capstone_project/train/F0717/MID6,/Users/harish3110/Desktop/capstone_project/train/F0579/MID3
6,1,/Users/harish3110/Desktop/capstone_project/train/F0196/MID2,/Users/harish3110/Desktop/capstone_project/train/F0196/MID3
7,1,/Users/harish3110/Desktop/capstone_project/train/F0332/MID1,/Users/harish3110/Desktop/capstone_project/train/F0332/MID2
8,0,/Users/harish3110/Desktop/capstone_project/train/F0965/MID9,/Users/harish3110/Desktop/capstone_project/train/F0690/MID5
9,0,/Users/harish3110/Desktop/capstone_project/train/F0124/MID2,/Users/harish3110/Desktop/capstone_project/train/F0064/MID4
10,1,/Users/harish3110/Desktop/capstone_project/train/F0920/MID1,/Users/harish3110/Desktop/capstone_project/train/F0920/MID2
11,1,/Users/harish3110/Desktop/capstone_project/train/F0579/MID5,/Users/harish3110/Desktop/capstone_project/train/F0579/MID7
12,0,/Users/harish3110/Desktop/capstone_project/train/F0805/MID5,/Users/harish3110/Desktop/capstone_project/train/F0625/MID6
13,0,/Users/harish3110/Desktop/capstone_project/train/F0167/MID3,/Users/harish3110/Desktop/capstone_project/train/F0881/MID6
14,0,/Users/harish3110/Desktop/capstone_project/train/F0665/MID1,/Users/harish3110/Desktop/capstone_project/train/F0601/MID3
15,0,/Users/harish3110/Desktop/capstone_project/train/F0971/MID5,/Users/harish3110/Desktop/capstone_project/train/F0020/MID6
16,0,/Users/harish3110/Desktop/capstone_project/train/F0038/MID5,/Users/harish3110/Desktop/capstone_project/train/F0545/MID3
17,1,/Users/harish3110/Desktop/capstone_project/train/F0836/MID7,/Users/harish3110/Desktop/capstone_project/train/F0836/MID8
18,0,/Users/harish3110/Desktop/capstone_project/train/F0556/MID1,/Users/harish3110/Desktop/capstone_project/train/F0524/MID3
19,1,/Users/harish3110/Desktop/capstone_project/train/F0656/MID1,/Users/harish3110/Desktop/capstone_project/train/F0656/MID5
20,1,/Users/harish3110/Desktop/capstone_project/train/F0821/MID7,/Users/harish3110/Desktop/capstone_project/train/F0821/MID8
21,1,/Users/harish3110/Desktop/capstone_project/train/F0129/MID1,/Users/harish3110/Desktop/capstone_project/train/F0129/MID4
22,0,/Users/harish3110/Desktop/capstone_project/train/F0040/MID1,/Users/harish3110/Desktop/capstone_project/train/F0264/MID8
23,1,/Users/harish3110/Desktop/capstone_project/train/F0303/MID6,/Users/harish3110/Desktop/capstone_project/train/F0303/MID5
24,0,/Users/harish3110/Desktop/capstone_project/train/F0795/MID2,/Users/harish3110/Desktop/capstone_project/train/F0993/MID5
25,0,/Users/harish3110/Desktop/capstone_project/train/F0158/MID4,/Users/harish3110/Desktop/capstone_project/train/F0188/MID5
26,0,/Users/harish3110/Desktop/capstone_project/train/F0051/MID5,/Users/harish3110/Desktop/capstone_project/train/F0582/MID2
27,0,/Users/harish3110/Desktop/capstone_project/train/F0238/MID7,/Users/harish3110/Desktop/capstone_project/train/F0409/MID4
